datetime            ,sourceID ,timediff ,BodyPart ,PatientID                                ,ZAxisInPossible ,ZAxisOutPossible ,YAxisDownPossible ,YAxisUpPossible ,PTAB       ,BC ,FA ,TO ,S1 ,S10 ,S11 ,S12 ,S2 ,S3 ,S4 ,S5 ,S6 ,S7 ,S8 ,S9 ,BO1 ,BO2 ,BO3 ,HE1 ,HE2 ,HE3 ,HE4 ,NE1 ,NE2 ,PA1 ,PA2 ,PA3 ,PA4 ,PA5 ,PA6 ,SHA ,18K ,HW1 ,HW2 ,HW3
2023-03-28 07:30:47 ,4        ,   461.0 ,-1       ,                                         ,            1.0 ,             0.0 ,              1.0 ,            1.0 ,250.0      , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:17 ,3        ,   551.0 ,-1       ,                                         ,            1.0 ,             0.0 ,              1.0 ,            1.0 ,150.0      , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:22 ,4        ,   556.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,150.0      , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:23 ,3        ,   557.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-792200.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:23 ,4        ,   557.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-792200.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:24 ,4        ,   558.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-792200.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:24 ,3        ,   558.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-802200.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:25 ,4        ,   559.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-802200.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:25 ,3        ,   559.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-805000.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:26 ,4        ,   560.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-805000.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:26 ,3        ,   560.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-808050.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:27 ,3        ,   561.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-811850.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:27 ,4        ,   561.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-811850.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:29 ,6        ,   563.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-811850.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:29 ,3        ,   563.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-813750.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:35 ,5        ,   569.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-813750.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:36 ,4        ,   570.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-813750.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:54 ,1        ,   588.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-813750.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 07:32:54 ,8        ,   588.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-813750.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
                    ,-1       ,         ,16       ,0bafd7b1cd675b45568af3d1b1d31a5db8bb52a9 ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-813750.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 08:07:41 ,9        ,     0.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-813750.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 08:07:52 ,2        ,    11.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-813750.0  , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 08:07:56 ,3        ,    15.0 ,-1       ,                                         ,            1.0 ,             1.0 ,              0.0 ,            0.0 ,-1553150.0 , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 08:08:05 ,4        ,    24.0 ,-1       ,                                         ,            1.0 ,             0.0 ,              1.0 ,            1.0 ,-1553150.0 , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 08:08:06 ,4        ,    25.0 ,-1       ,                                         ,            1.0 ,             0.0 ,              1.0 ,            1.0 ,-1553150.0 , 1 , 1 , 1 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 08:08:13 ,0        ,    32.0 ,-1       ,                                         ,            1.0 ,             0.0 ,              1.0 ,            1.0 ,-1553150.0 , 1 , 0 , 0 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 08:08:27 ,4        ,    46.0 ,-1       ,                                         ,            0.0 ,             0.0 ,              1.0 ,            1.0 ,-1553150.0 , 1 , 0 , 0 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 08:11:59 ,4        ,   258.0 ,-1       ,                                         ,            1.0 ,             0.0 ,              1.0 ,            1.0 ,-1553150.0 , 1 , 0 , 0 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 08:15:42 ,4        ,   481.0 ,-1       ,                                         ,            0.0 ,             0.0 ,              1.0 ,            1.0 ,-1553150.0 , 1 , 0 , 0 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
2023-03-28 08:16:39 ,4        ,   538.0 ,-1       ,                                         ,            1.0 ,             0.0 ,              1.0 ,            1.0 ,-1553150.0 , 1 , 0 , 0 , 1 ,  1 ,  1 ,  1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 , 1 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0 ,  0
